interaction,Source,F,p_unc,ng2
environment x height,environment,23.57593123209172,0.00014842047143020866,0.3034271384786849
environment x height,height,3.3920498830865196,0.08302717170297524,0.024960998439937623
environment x height,environment * height,0.8831168831168642,0.3605113593200714,0.0035870864886408307
environment x flight_path,environment,19.71014492753624,0.00035932780586402796,0.26045434814064533
environment x flight_path,flight_path,9.970066518847027,0.005749113665719887,0.04920472514184734
environment x flight_path,environment * flight_path,2.693069306930716,0.1191550610844694,0.01389156858962004
