interaction,Source,F,p_unc,ng2
environment x height,environment,13.580901856763928,0.0018357842899653796,0.12027362249116746
environment x height,height,11.138815080789946,0.00019029745096336826,0.08879978199089034
environment x height,environment * height,17.581678724908965,5.7180565206215614e-06,0.1687915053801629
environment x flight_path,environment,11.333070181839874,0.0036642227415192028,0.1189527226582983
environment x flight_path,flight_path,5.204432749721703,0.03569160287197808,0.035287621659665404
environment x flight_path,environment * flight_path,22.802222974204163,0.00017585223910467987,0.06474948512291068
